open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1695326400000,26599.95000000,26606.64000000,26497.94000000,26594.26000000,861.01392000,1695329999999,22863908.98018390,25172,389.26214000,10335647.37955400,0
1695330000000,26594.27000000,26621.57000000,26560.82000000,26613.67000000,509.59133000,1695333599999,13551826.70465990,18930,247.97486000,6594658.06626470,0
1695333600000,26613.68000000,26617.28000000,26550.00000000,26590.06000000,512.38379000,1695337199999,13616110.04568020,16379,203.39128000,5404165.53021680,0
1695337200000,26590.06000000,26617.58000000,26556.97000000,26568.08000000,428.83723000,1695340799999,11398974.29608610,16115,199.09455000,5292141.54887500,0
1695340800000,26568.08000000,26649.99000000,26468.77000000,26643.38000000,1352.06396000,1695344399999,35933997.29299870,42027,655.88361000,17431624.90824830,0
1695344400000,26643.37000000,26670.13000000,26566.48000000,26630.22000000,837.03260000,1695347999999,22289515.57783140,26776,376.13195000,10016599.81844790,0
1695348000000,26630.22000000,26644.77000000,26564.94000000,26567.66000000,688.75908000,1695351599999,18316283.59719870,18750,263.06585000,6995149.57362230,0
1695351600000,26567.65000000,26640.00000000,26550.65000000,26627.77000000,575.55074000,1695355199999,15310427.10573320,21755,268.83540000,7150602.79533940,0
1695355200000,26627.77000000,26661.42000000,26619.66000000,26647.69000000,500.03695000,1695358799999,13322640.29800650,19274,242.51743000,6461175.10821420,0
1695358800000,26647.70000000,26670.15000000,26609.13000000,26666.23000000,644.59341000,1695362399999,17170102.05213960,18772,359.22671000,9568877.09491100,0
1695362400000,26666.23000000,26686.04000000,26601.50000000,26619.99000000,704.30696000,1695365999999,18762930.53856720,21893,260.33833000,6935979.90341950,0
1695366000000,26619.99000000,26705.46000000,26573.93000000,26674.80000000,1127.12217000,1695369599999,30025542.96328950,29184,643.62401000,17146227.24969290,0
1695369600000,26674.80000000,26743.38000000,26665.27000000,26672.82000000,1136.85820000,1695373199999,30353990.97315720,30516,543.63158000,14514301.92144250,0
